name,link,pic,bio,rol
Félix Arias,https://twitter.com/flxarias,felix.jpg,Profesor en @periodismoumh y subdirector del @mipumh. Enseño y aprendo sobre periodismo de datos y nuevas narrativas.,"Coordinación, datos, análisis y visualización"
Miguel Carvajal,https://twitter.com/mcarvajal_,miguel.jpg,Profesor en @PeriodismoUMH y director del @mipumh. Leo y escribo sobre innovación y modelos de negocio en el periodismo.,Desarrollo y visualización
Enrique Fernández,https://twitter.com/byhenry77,henry.jpg,"@PeriodismoUMH ""Cuando se descubrió que la información era un negocio, la verdad dejo de ser importante"". Ryszard Kapuściński","Datos, análisis y visualización"
Claudia Saumell,https://twitter.com/SCclaudia28,claudia.jpg,Seràs aquella que vas voler ser/ Periodismo UMH📰,"Datos, análisis y visualización"
Irene C. Reig,https://twitter.com/ReigCe,irene.png,#Periodista entre redes sociales y micrófonos de #radio. Melómana del #britpop y #cinéfila. Voluntaria en #DiversidadFuncional.,"Datos, análisis y visualización"
Verónica Maciá Richarte,https://twitter.com/VeronicaMaciaRi,veronica.jpg,"Estudiante de periodismo y abogada. Inteligencia, seguridad y finanzas. Debí nacer en el Renacimiento.","Datos, análisis y visualización"
Enrique Mas Torregrosa,https://twitter.com/enriquemastor,enrique.jpg,Som fills del poble. Periodismo en @UniversidadMH,"Datos, análisis y visualización"
Gara Pulido Tacoronte,https://twitter.com/PulidoTacoronte,gara.jpg,"Casi periodista por @UniverdsidadMH. Si de algo estoy segura es de que, citando a Stalin a medias, el hombre de letras es el ingeniero de alma humana.","Datos, análisis y visualización"
Tamara García,https://twitter.com/TamaraGarciaR_,tamara.jpg,Estudiante de @PeriodismoUMH y redactora en @UMHSapiens,"Datos, análisis y visualización"
Dámaso Mondéjar,https://twitter.com/Monde97?lang=es,damaso.jpg,Estudiante de @PeriodismoUMH,"Datos, análisis y visualización"
Máximo Perozo Álvarez,,logo.png,Estudiante de ciencia de datos.,"Datos, análisis y visualización"
Cristian Ramón Marín,https://twitter.com/Crms74,cristian.jpg,Doctorando en Periodismo por la @UniversidadMH. Nuevos modelos de negocio para el periodismo deportivo.,"Datos, análisis y visualización"
Chema Valero,http://twitter.com/josvap,chema.png,Personal Investigador en innovación en periodismo en @UniversidadMH.,Proyectos
Elpidio del Campo,https://twitter.com/elpidio_dcc,elpi.jpg,"Profesor en @cauumh y @PeriodismoUMH. Profesor e investigador #cinema, #documentary_photography, #data_visualization",Proyectos
Elisa Rodriguez,https://twitter.com/ElisaRdez,elisa.jpg,Estudiante de @PeriodismoUMH,"Datos, análisis y visualización"
Cristina Riera,https://twitter.com/cristinariera_,cristina.jpg,Estudiante de @PeriodismoUMH,"Datos, análisis y visualización"
Quique Ribera,https://twitter.com/QuiqueRibera9,quique.jpeg,Estudiante de @PeriodismoUMH,"Datos, análisis y visualización"
Juanma Navarro,,navarro.jpg,Estudiante de @PeriodismoUMH,"Datos, análisis y visualización"
Rubén Moreno,https://twitter.com/rubenms33,ruben.jpg,Estudiante de @PeriodismoUMH,"Datos, análisis y visualización"
Olivia Martín,https://twitter.com/dieppa_olivia,olivia.jpg,Estudiante de @PeriodismoUMH,"Datos, análisis y visualización"
